Country,ISO2,ISO3,Indicator,Unit,Source,Copyright and Usage,CTS Code,CTS Name,CTS Full Descriptor,Growth Type,Sector,Scenarios,Scope,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 2,0.124651503,0.133275483,0.141200659,0.14842703,0.154954596,0.160783358,0.157161663,0.153490095,0.149768654,0.145997339,0.142176152,0.133581152,0.124891346,0.116106734,0.107227317,0.098253094,0.091526658,0.084735471,0.077879532,0.070958843,0.063973402,0.062896694,0.061809617,0.060712172,0.059604359,0.058486178
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Net Zero 2050,Scope 1,1.407456722,1.432211299,1.448074613,1.455046664,1.453127451,1.442316976,1.601047419,1.740264652,1.859968676,1.960159491,2.040837097,2.160882155,2.270300699,2.369092726,2.45725824,2.534797238,2.676624934,2.816147057,2.953363609,3.088274589,3.220879996,3.393660897,3.567791768,3.743272607,3.920103416,4.098284193
Advanced Economies,,AETMP,Carbon Cost to Revenues in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFR,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Revenues in Disclosing Firms",Constant Assets/Revenues,Not applicable,Net Zero 2050,Scope 2,0.18363427,0.17882129,0.171797632,0.162563296,0.151118282,0.13746259,0.13986741,0.137558407,0.13053558,0.118798928,0.102348452,0.105806843,0.108366553,0.11002758,0.110789925,0.110653588,0.131148579,0.153248878,0.176954486,0.202265403,0.229181627,0.25931141,0.291217698,0.324900492,0.360359793,0.3975956
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Below 2°C,Scope 1,0.334395085,0.338731477,0.341480604,0.342754518,0.342661156,0.341304309,0.334242304,0.325904555,0.316416193,0.305896251,0.294457756,0.288073403,0.281024863,0.273383505,0.26521693,0.256589054,0.252781982,0.248600806,0.244083469,0.239265911,0.234182131,0.23154945,0.228656269,0.225526929,0.222184522,0.218650931
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Below 2°C,Scope 2,0.048798839,0.048342604,0.047577888,0.046531247,0.045228104,0.043692749,0.040535701,0.037122435,0.033484842,0.029653094,0.025655672,0.02329163,0.020827532,0.018279713,0.015663514,0.012993308,0.012545887,0.012074708,0.011583051,0.011073998,0.010550444,0.011096241,0.011628397,0.012145789,0.012647418,0.013132409
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Current Policies,Scope 1,0.116134268,0.112006497,0.107991538,0.104088282,0.100295485,0.096611782,0.093197308,0.089878074,0.086652862,0.083520367,0.080479209,0.077442267,0.074501455,0.071654782,0.068900223,0.066235732,0.063656363,0.061164568,0.058758117,0.056434791,0.054192378,0.052177653,0.050228535,0.048343404,0.046520644,0.04475865
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Current Policies,Scope 2,0.017565207,0.016672908,0.015817617,0.014998282,0.014213844,0.013463246,0.012752928,0.012073623,0.011424332,0.010804064,0.010211838,0.009660754,0.009134544,0.008632338,0.008153282,0.007696535,0.007221407,0.006769821,0.006340854,0.005933609,0.005547207,0.005193229,0.00485719,0.004538359,0.004236025,0.003949497
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Delayed transition,Scope 1,0.116163543,0.111961205,0.107877249,0.103910319,0.100058926,0.096321466,0.385364486,0.613748622,0.786005848,0.906474531,0.979300934,1.022719168,1.047060495,1.053915689,1.044798619,1.021147767,1.045189967,1.062441472,1.073423284,1.078631543,1.078538094,1.103605578,1.125476469,1.144323945,1.160315095,1.173610973
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Delayed transition,Scope 2,0.017565207,0.016672908,0.015817617,0.014998282,0.014213844,0.013463246,0.052771101,0.080876666,0.098663666,0.106976688,0.106621571,0.103440937,0.096846027,0.087161892,0.074696754,0.059742394,0.060210642,0.060197485,0.05974477,0.058892193,0.057677356,0.062253874,0.066801831,0.071304799,0.075747764,0.080117056
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Divergent Net Zero,Scope 1,1.660394719,1.635778419,1.600220639,1.554693017,1.50012489,1.437403416,1.393110414,1.343785916,1.289974201,1.232191854,1.170928251,1.141718562,1.110267453,1.076834488,1.041665169,1.004991284,0.994576193,0.982875154,0.97000375,0.956071906,0.941184022,0.939636609,0.937059108,0.933514956,0.929065303,0.923769036
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Divergent Net Zero,Scope 2,0.214336224,0.2028358,0.189292809,0.173914411,0.156898062,0.138431583,0.12555023,0.111866702,0.097490713,0.082525865,0.067069789,0.063704755,0.060169829,0.056489538,0.052686968,0.048783804,0.052100566,0.055362694,0.058561591,0.061689471,0.064739325,0.068320194,0.071815698,0.075218263,0.078521151,0.081718414
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 1,0.430579948,0.456284686,0.479380618,0.49999701,0.518260116,0.534293025,0.515009699,0.496254698,0.478022461,0.460306866,0.443101279,0.42259348,0.402800094,0.383705813,0.365295083,0.347552147,0.33301426,0.318973897,0.30541926,0.292338509,0.279719791,0.27039661,0.261337279,0.252536863,0.24399036,0.235692711
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 2,0.061824607,0.064205565,0.066056399,0.06741346,0.068311786,0.068785084,0.065231778,0.061796143,0.058476514,0.055271111,0.052178052,0.047515051,0.043048914,0.038775,0.034688604,0.03078497,0.027770065,0.024891934,0.022146729,0.019530615,0.017039765,0.016209874,0.015410966,0.014642226,0.013902843,0.013192012
