Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Type of Issuer,Use of Proceed,Principal Currency,1985,1986,1987,1990,1991,1992,1993,1994,1999,2000,2002,2003,2004,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
France,FR,FRA,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,0.3,,0.0,,,,,,,,,,,,,,,0.6093745,2.065394,5.886817,8.654325,5.938198,24.67717,14.70901,29.13774,35.08056,57.60014,27.96652
France,FR,FRA,Sovereign Green Bond Issuances,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,11.62551,6.109475,,7.045797,28.48142,5.34701
Georgia,GE,GEO,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,
Germany,DE,DEU,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,0.0291793,0.0350152,0.0175076,,,0.0272179,,0.3497523,,,0.1060704,,,,,0.3237888,3.665206,6.763669,4.25597,8.028337,6.297859,20.82321,43.61738,74.3857,83.84019
Germany,DE,DEU,Sovereign Green Bond Issuances,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,16.97127,20.15338,5.30352
Greece,GR,GRC,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.1591056,0.5303521,1.5062,0.2439619
Guernsey,GG,GGY,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.0237296,0.5361484,0.0506776,
Hungary,HU,HUN,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02082,0.9449615,3.300555
Hungary,HU,HUN,Sovereign Green Bond Issuances,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,1.737899,0.5151408,2.358886
Iceland,IS,ISL,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6934966,0.9546337,0.3182112
India,IN,IND,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,0.7316662,0.5884005,1.952423,,3.537979,0.9358982,5.167678,1.241435
Indonesia,ID,IDN,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,2.532542,1.594399,1.85055,2.127547,5.026204
Ireland,IE,IRL,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,0.1085305,,,,,,,,,,,,7.264566,1.272845,2.168772,9.150518,5.683268
