Country,ISO2,ISO3,Technology,Energy Type,Indicator,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,,NA605,Solar energy,Total Renewable,Electricity Generation,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",11.648,14.777,17.504,20.926,25.301,30.604,39.068,48.286,59.447,83.88,175.819,598.641,1054.822,739.372,2020.409,3309.764,5130.086,7926.83,10232.217,13199.761,17423.468,21046.747,22463.281,
Africa,,NA605,Solar energy,Total Renewable,Electricity Installed Capacity,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",8.555,10.71,12.676,15.119,18.416,22.012,29.443,38.011,48.806,87.141,210.725,289.13,337.668,643.883,1630.376,2125.413,3296.107,5048.163,7944.276,9293.14,10658.712,11581.588,12646.002,13438.073
Africa,,NA605,Wind energy,Total Renewable,Electricity Generation,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",185.094,425.249,455.162,468.361,639.094,804.174,809.559,990.876,1222.534,1483.647,2012.29,2407.884,2830.708,3499.908,4477.434,5457.216,7006.378,7152.1,7845.297,9727.086,10741.542,12737.23,12995.893,
Africa,,NA605,Wind energy,Total Renewable,Electricity Installed Capacity,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",139.05,139.05,144.31,153.79,236.11,240.18,327.905,470.1,555.3,742.4,864.777,994.982,1131.994,1741.834,2399.398,3320.268,3831.394,4578.263,5470.653,5527.853,6513.753,6908.753,7744.853,8653.628
Albania,AL,ALB,Bioenergy,Total Renewable,Electricity Installed Capacity,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",,,,,,,,,,,,,,,,,,1.425,1.425,1.425,1.425,1.425,1.425,1.425
Albania,AL,ALB,Fossil fuels,Total Non-Renewable,Electricity Generation,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",184.0,175.0,226.0,107.0,140.0,70.0,93.0,72.0,,1.0,1.0,59.0,,,,,,,,,,,,
Albania,AL,ALB,Fossil fuels,Total Non-Renewable,Electricity Installed Capacity,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,,,,,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0
Albania,AL,ALB,Hydropower (excl. Pumped Storage),Total Renewable,Electricity Generation,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",4594.0,3555.0,3512.0,4885.0,5466.0,5373.0,5431.0,2788.0,3797.0,5201.0,7567.0,4132.0,4725.0,6959.0,4724.441,5895.0,7781.702,4524.979,8552.152,5183.847,5280.901,8921.94,6841.751,
Albania,AL,ALB,Hydropower (excl. Pumped Storage),Total Renewable,Electricity Installed Capacity,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1455.0,1457.0,1459.0,1475.0,1508.0,1628.0,1781.0,1725.0,1798.0,1913.0,2047.0,2105.0,2162.0,2387.0,2507.0,2493.0,2493.0
Albania,AL,ALB,Solar energy,Total Renewable,Electricity Generation,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",,0.136,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.408,0.544,0.767,0.924,1.03,1.188,1.428,1.36,1.2,1.334,22.196,32.265,40.77,160.892,
