Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Accidents,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIA,Implicit; Accidents,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Accidents",Percent of GDP,0.725155026310103,0.544085574174279,0.551234972847668,0.905960523317479,1.0633764135309,1.05656076719577,1.18531878406709,1.2500900359389,1.25061023310372,1.25151498552461,1.29547217031047,1.34111492862134,1.38833829140461,1.42764393181591,1.47298230657882,1.52050010432265
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Accidents,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIA,Implicit; Accidents,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Accidents",USD at constant 2021 prices,164446626.6,109755642.7,114351810.5,178872978.9,218162305.0,211671384.1,237466765.2,250443037.8,250547254.1,250728512.2,259534894.6,268678964.8,278139693.3,286014185.3,295097275.3,304616990.9
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Coal,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIC,Implicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Coal",Percent of GDP,1.31225809581112,1.52914725100035,1.83195699193907,2.23735260387544,2.31528222021837,2.36793829789358,2.73527113656783,2.85690225566537,3.70098265648398,3.81954097234701,3.98187741788959,4.12526755515623,4.26327556703604,4.40357302785265,4.54808468054308,4.69616193620845
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Coal,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIC,Implicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Coal",USD at constant 2021 prices,297586597.7,308467173.7,380033214.7,441743227.0,475003300.3,474392758.6,547984219.5,572351797.9,741454865.4,765206838.4,797729321.9,826456102.0,854104627.1,882211820.4,911163284.9,940829082.3
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Congestion,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIG,Implicit; Congestion,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Congestion",Percent of GDP,0.259270232613541,0.194531084057397,0.197087263396697,0.323915007316116,0.380197116640671,0.341190465708296,0.377598900768693,0.380582618897874,0.363899705300988,0.348509033692722,0.345356581561346,0.342785963761605,0.340482474493361,0.336155461166018,0.333323891484476,0.330969896475991
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Congestion,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIG,Implicit; Congestion,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Congestion",USD at constant 2021 prices,58795862.38,39241775.87,40885078.97,63953826.66,78001240.45,68354097.9,75648163.78,76245921.87,72903666.96,69820299.81,69188737.55,68673739.98,68212258.94,67345385.09,66778108.42,66306509.06
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Electricity,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIT,Implicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Electricity",Percent of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Electricity,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIT,Implicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Electricity",USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Foregone VAT,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIF,Implicit; Foregone Vat,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Foregone Vat",Percent of GDP,0.0,0.0,0.0,0.0,0.0,0.0,1.37169279774384,1.69315162573625,1.63710360936408,1.52774568583408,1.54329602775282,1.55890726465009,1.5749032350005,1.59068897324548,1.60877408156135,1.62764532943995
"Afghanistan, Islamic Rep. of",AF,AFG,Implicit Fossil Fuel Subsidies - Foregone VAT,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIF,Implicit; Foregone Vat,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Foregone Vat",USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,274804935.1,339205996.7,327977337.1,306068570.7,309183926.2,312311481.4,315516114.1,318678628.9,322301799.5,326082465.3
