Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,2015,2016,2017,2018,2019,2020,2021
Albania,AL,ALB,"Vulnerability score, Exposure",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.408243135,0.408243135,0.408243135,0.408243135,0.408243135,0.408243135,0.408243135
Albania,AL,ALB,"Vulnerability score, Food",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.439189529,0.428139939,0.420104101,0.419294067,0.414858379,0.416455599,0.414916265
Albania,AL,ALB,"Vulnerability score, Habitat",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.520550605,0.527394445,0.522851014,0.51830264,0.520646394,0.523035821,0.52550877
Albania,AL,ALB,"Vulnerability score, Heath",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.364041384,0.366634413,0.368063059,0.36229053,0.3485862,0.344911005,0.344911005
Albania,AL,ALB,"Vulnerability score, Infrastructure",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.388842716,0.404253528,0.441507828,0.406005442,0.428202159,0.436574462,0.436574462
Albania,AL,ALB,"Vulnerability score, Sensitivity",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.254274821,0.260120797,0.277657735,0.258983032,0.26934048,0.273304823,0.27301212
Albania,AL,ALB,"Vulnerability score, Water",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.23575625,0.23654595,0.23646021,0.235697331,0.236557827,0.234648361,0.234648361
Algeria,DZ,DZA,IMF-Adapted ND-GAIN Index,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.471681311,0.472289989,0.47346495,0.474322304,0.471230058,0.473271603,0.473477926
Algeria,DZ,DZA,IMF-Adapted Readiness score,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.317197916,0.318317225,0.322228053,0.325162517,0.318790173,0.322699423,0.323226928
Algeria,DZ,DZA,"Readiness score, Governance",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.313218831,0.312023137,0.32245909,0.32476399,0.311031403,0.323674988,0.331108251
Algeria,DZ,DZA,"Readiness score, IMF-Adapted Economic",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.348217286,0.33822504,0.325830106,0.325794658,0.311895975,0.306383157,0.293288679
Algeria,DZ,DZA,"Readiness score, Social",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.29015763,0.304703498,0.318394962,0.324928903,0.333443141,0.338040124,0.345283854
Algeria,DZ,DZA,Vulnerability score,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.373835294,0.373737247,0.375298153,0.37651791,0.376330057,0.376156217,0.376271076
Algeria,DZ,DZA,"Vulnerability score, Capacity",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.519536152,0.518317677,0.518160032,0.522357732,0.522672816,0.523332101,0.523332101
Algeria,DZ,DZA,"Vulnerability score, Ecosystems",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.413271535,0.416992674,0.416992674,0.416992674,0.41652819,0.416063707,0.415789054
Algeria,DZ,DZA,"Vulnerability score, Exposure",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.326538356,0.326538356,0.326538356,0.326538356,0.326538356,0.326538356,0.326538356
Algeria,DZ,DZA,"Vulnerability score, Food",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.474211387,0.471617848,0.469379868,0.466974627,0.464453609,0.463476482,0.462528093
Algeria,DZ,DZA,"Vulnerability score, Habitat",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.410072589,0.412829894,0.419671217,0.426288111,0.429180066,0.431571997,0.433484195
Algeria,DZ,DZA,"Vulnerability score, Heath",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.490694657,0.482021124,0.479301381,0.481155387,0.478363576,0.475437264,0.475437264
Algeria,DZ,DZA,"Vulnerability score, Infrastructure",ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.135339439,0.135063959,0.134583621,0.13447863,0.134811784,0.134299635,0.134299635
