Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Sector,Scale,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Other manufacturing; repair and installation of machinery and equipment,Units,41.8782135482697,50.4870793071165,43.5550645889203,41.8211495743825,24.7050866271464,20.7644612069434,25.9654798720604,20.5871282193466,21.6755669387676,18.5156530962129,16.0721055206171,12.8305143476389,,
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Other non-metallic mineral products,Units,16.1518385970022,19.9306082880156,17.4857146398815,17.6529165826627,16.4662582373965,16.9484328891671,16.077340636584,14.4428614335477,12.2127742245369,11.7481855230186,9.29285645189718,8.39013892004456,,
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Other transport equipment,Units,7.09318403170534,19.2247852750694,1.97475499974668,9.45389742997553,0.196541596464147,3.37258405401415,4.03212677766847,12.0052302160167,7.63205422553117,4.35144097327115,3.67795125677446,6.73035582104377,,
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Paper products and printing,Units,37.8554564002341,42.1333741003375,41.2819949527279,36.7685473638992,33.4262816809366,33.3851914520438,31.3337698650782,30.1966041084211,25.0659589900266,23.6362267579342,21.2481661695173,18.0512418669995,,
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Private households with employed persons,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Public admin. and defence; compulsory social security,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Publishing, audiovisual and broadcasting activities",Units,21.2721459958436,24.9084963236714,24.4134402893834,23.2044605485148,16.7617482848272,17.9356885534236,16.7279358024159,14.1844254648442,12.2162305258706,11.416143798031,10.119952310128,8.08692298095077,,
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Real estate activities,Units,13.5584986129952,16.528676348516,17.6217620285834,16.4129937197097,14.6734668780026,14.961238090443,14.4581241764769,12.4075564563137,10.808550621462,10.9469585869512,11.1977456753419,9.29908990107287,,
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Rubber and plastic products,Units,84.0321349876603,103.193029590243,93.5745936755376,97.8725579549712,79.5687901861699,86.0589136935625,91.2702999018258,89.822951986001,86.7814549537132,86.7444360560642,65.1863481858344,69.6057822723636,,
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Telecommunications,Units,34.5205810899631,44.1934826291365,51.5092645764123,49.8146287927674,20.1845782208232,27.0276832811524,18.9028331230223,17.5150208605776,18.8869209158487,18.1887603027592,22.6382089980663,28.838387553033,,
Argentina,AR,ARG,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, https://stats.oecd.org/. OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio.  OECD (2018), OECD Analytical AMNE Database, https://www.oecd.org/sti/ind/analytical-amne-database.htm. IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Textiles, wearing apparel, leather and related products",Units,351.665355024172,347.598726524081,311.916592325535,245.427285183957,171.484307034806,228.374427908341,198.983788517718,173.01200029127,167.807403626778,162.565447736284,115.839496282864,117.51073554808,,
