Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,AR,ARG,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Other transport equipment,Units,0.01,0.01,0.012,0.013,0.01,0.011,0.008,0.008,0.008,0.009,0.01,0.008,0.008,0.009,0.008,0.009,0.008,0.007,0.008,0.005,0.007,0.006,0.007,0.005
Argentina,AR,ARG,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Paper products and printing,Units,0.585,0.624,0.625,0.615,0.521,0.576,0.506,0.519,0.571,0.561,0.582,0.62,0.562,0.577,0.583,0.562,0.541,0.532,0.545,0.548,0.588,0.543,0.573,0.619
Argentina,AR,ARG,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Pharmaceuticals, medicinal chemical and botanical products",Units,0.428,0.437,0.412,0.442,0.432,0.431,0.623,0.466,0.462,0.399,0.433,0.472,0.418,0.434,0.429,0.409,0.438,0.45,0.437,0.412,0.42,0.411,0.433,0.391
Argentina,AR,ARG,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Postal and courier activities,Units,0.042,0.046,0.049,0.05,0.046,0.043,0.042,0.052,0.057,0.071,0.062,0.064,0.069,0.07,0.062,0.067,0.067,0.065,0.071,0.07,0.067,0.065,0.067,0.072
Argentina,AR,ARG,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Professional, scientific and technical activities",Units,0.396,0.43,0.465,0.429,0.362,0.336,0.287,0.319,0.316,0.347,0.341,0.353,0.405,0.393,0.38,0.403,0.418,0.423,0.457,0.434,0.444,0.378,0.423,0.433
Argentina,AR,ARG,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Public administration and defence; compulsory social security,Units,0.392,0.406,0.426,0.51,0.537,0.596,0.585,0.788,0.919,1.3,1.27,1.278,1.407,1.427,1.541,1.629,1.681,1.742,1.821,1.835,1.906,1.649,1.767,1.685
Argentina,AR,ARG,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Publishing, audiovisual and broadcasting activities",Units,0.128,0.136,0.141,0.155,0.137,0.128,0.111,0.113,0.111,0.114,0.128,0.139,0.167,0.166,0.173,0.178,0.169,0.175,0.164,0.155,0.151,0.129,0.148,0.145
Argentina,AR,ARG,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Real estate activities,Units,0.295,0.291,0.299,0.309,0.324,0.335,0.323,0.316,0.326,0.346,0.329,0.293,0.291,0.256,0.261,0.252,0.219,0.225,0.217,0.199,0.193,0.162,0.196,0.205
Argentina,AR,ARG,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Rubber and plastics products,Units,4.633,4.225,5.576,4.455,3.399,2.823,3.122,3.528,4.002,4.11,3.47,4.002,3.873,3.362,2.573,2.459,3.038,2.962,3.752,3.762,3.811,3.611,2.734,3.564
Argentina,AR,ARG,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o).",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Telecommunications,Units,0.102,0.102,0.105,0.108,0.109,0.112,0.106,0.118,0.128,0.147,0.163,0.178,0.215,0.215,0.226,0.231,0.22,0.227,0.214,0.202,0.199,0.175,0.198,0.192
