Country,ISO2,ISO3,Indicator,Unit,Source,Copyright and Usage,CTS Code,CTS Name,CTS Full Descriptor,Growth Type,Sector,Scenarios,Scope,2023
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFK,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Revenues at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Divergent Net Zero,Scope 1,10.44127838
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFK,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Revenues at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 1,3.261468829
Advanced Economies,,AETMP,Revenues at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFK,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Revenues at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Net Zero 2050,Scope 1,9.547725885
ASEAN-5,,ASEANTMP,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Below 2°C,Scope 1,8.741625635
ASEAN-5,,ASEANTMP,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Current Policies,Scope 1,0.0
ASEAN-5,,ASEANTMP,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Delayed transition,Scope 1,8.741625635
ASEAN-5,,ASEANTMP,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Divergent Net Zero,Scope 1,33.80339617
ASEAN-5,,ASEANTMP,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 1,3.191636099
ASEAN-5,,ASEANTMP,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Net Zero 2050,Scope 1,22.58433569
ASEAN-5,,ASEANTMP,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Below 2°C,Scope 1,2.513722623
